heart_rate,accel_mag,accel_x,accel_y,accel_z,hrv,mov_trend,fatigue
150,0.805,0.861,0.101,-0.493,32.842,1.647,0
87,1.774,-0.191,-0.779,0.104,33.895,1.56,0
151,0.586,0.201,0.097,-0.14,35.789,1.531,0
160,0.571,0.135,0.233,-0.099,36.158,1.481,1
184,0.382,0.045,0.475,-0.079,35.158,1.257,1
130,1.361,-0.843,-0.432,0.253,37.526,1.079,0
148,1.818,0.476,0.041,0.065,36.579,1.104,0
84,1.863,1.22,-0.124,0.522,39.474,1.073,0
145,0.932,-0.819,0.126,0.293,37.895,0.995,0
133,1.834,-1.797,-0.63,0.44,37.842,0.99,0
91,2.243,1.857,-0.842,0.266,38.158,1.068,0
162,0.642,0.209,-0.143,0.149,40.316,0.979,1
100,0.953,0.183,0.214,-0.025,43.316,0.993,0
119,1.648,-0.463,0.343,-0.023,43.632,0.94,0
94,1.171,0.179,-0.182,0.434,43.316,0.889,0
105,2.055,-0.43,-0.431,-0.198,40.789,0.979,0
190,0.286,0.223,-0.052,0.033,43.579,0.887,1
89,1.789,0.781,0.056,0.393,45.474,0.953,0
134,1.123,0.006,0.094,0.153,44.0,0.988,0
183,0.0,0.0,0.0,0.0,46.263,1.058,1
79,1.883,-0.735,1.212,-0.093,48.421,1.141,0
98,1.949,0.176,0.427,1.405,46.053,1.113,0
177,0.205,0.008,0.024,0.028,49.737,1.002,1
165,0.471,-0.218,0.084,0.142,49.105,0.993,0
157,1.023,0.278,-1.034,-0.286,46.684,0.921,1
164,0.84,0.65,-0.132,0.03,46.105,0.788,1
79,1.471,-1.271,1.407,-0.374,47.211,0.884,0
116,1.209,-0.938,-0.436,0.062,45.947,0.904,0
154,0.562,0.76,0.02,0.19,47.316,0.851,0
118,0.806,0.495,1.18,0.335,47.0,0.843,0
181,0.225,0.053,-0.025,0.037,46.579,0.698,1
73,1.77,-1.05,-1.172,0.096,49.0,0.835,0
151,1.754,0.814,-0.635,-0.835,52.105,0.782,0
95,1.509,0.095,-1.208,-0.272,53.737,0.78,0
162,0.979,-0.044,0.074,-0.126,56.684,0.845,1
185,0.288,-0.049,0.069,0.043,53.421,0.744,1
119,0.927,-0.385,-0.4,0.249,51.579,0.689,0
188,0.167,0.024,-0.078,0.111,52.842,0.748,1
77,1.99,0.494,-0.221,-0.078,56.105,0.85,0
102,2.287,-2.109,0.367,1.001,51.947,0.962,0
114,1.059,1.041,1.066,-0.176,51.579,1.06,0
162,0.593,-0.135,-0.072,-0.104,49.947,0.956,1
79,1.624,-0.192,-0.74,0.016,53.684,0.966,0
179,0.094,0.019,0.047,-0.056,58.526,1.002,1
139,1.508,1.762,-0.236,0.781,60.263,1.07,0
95,1.823,0.589,-1.007,0.093,58.105,1.327,0
75,2.275,-0.419,1.794,-0.829,57.211,1.232,0
151,0.637,0.028,0.298,0.014,59.211,1.161,1
169,0.738,-0.137,0.223,0.129,58.263,1.084,0
153,0.434,0.023,0.184,-0.11,55.789,0.987,0
115,1.417,2.119,-0.005,0.356,52.105,1.167,0
175,0.296,-0.078,0.207,0.051,51.158,1.207,1
142,1.248,-0.566,0.402,-0.336,49.947,1.287,0
135,1.351,-0.183,0.16,0.999,46.789,1.12,0
157,0.702,-0.553,-0.157,-0.209,46.737,0.941,0
90,1.959,-0.083,0.572,0.038,46.789,0.982,0
111,1.385,-0.659,0.449,-0.533,44.263,1.085,0
158,0.998,-0.338,-0.246,-0.11,40.895,1.019,0
82,1.684,0.172,0.162,0.002,43.579,1.148,0
168,0.341,0.102,0.469,-0.107,47.474,1.03,1
176,0.113,-0.015,-0.08,-0.061,45.368,0.848,1
183,0.326,-0.006,-0.034,-0.038,41.368,0.722,1
134,1.136,0.267,-1.008,0.062,38.684,0.795,0
80,1.791,-2.106,2.214,-0.641,39.421,0.893,0
134,1.248,1.282,-1.027,-0.604,39.947,0.973,0
138,1.362,0.934,-0.916,-0.653,39.105,0.907,0
175,0.466,-0.169,0.207,0.042,37.053,0.951,1
154,0.734,0.202,-0.298,0.443,37.211,0.865,1
91,1.871,-0.511,-0.901,0.729,39.684,0.927,0
149,1.103,-0.693,0.355,0.392,40.737,1.045,0
143,1.482,1.166,-1.114,-0.223,37.895,0.961,0
103,1.967,0.538,2.555,-0.38,38.263,0.95,0
183,0.396,0.427,0.177,0.07,42.105,0.95,1
157,0.532,-0.19,-0.409,-0.277,42.316,0.806,1
144,0.656,-0.109,-0.527,0.18,39.474,0.878,1
176,0.278,-0.042,0.268,0.041,40.053,0.985,1
165,0.492,0.149,0.118,-0.096,38.158,1.138,1
178,0.101,0.03,0.044,0.07,34.842,1.025,1
147,1.47,-1.553,0.664,0.168,31.947,0.933,0
155,0.796,-0.1,-0.406,-0.139,31.947,0.857,1
164,0.844,0.732,0.606,-0.154,32.053,0.827,0
148,0.479,0.207,-0.107,0.248,30.316,0.819,0
175,0.08,0.07,0.081,-0.018,28.895,0.804,1
74,2.179,-0.721,3.344,-0.369,31.368,0.798,0
161,1.072,1.214,0.659,0.191,35.737,0.776,1
134,1.694,1.134,-0.66,0.482,35.211,0.813,0
143,0.957,-0.111,-0.412,-0.536,34.579,0.723,0
94,1.39,0.158,0.481,0.777,33.842,0.813,0
151,0.655,-0.377,0.471,-0.381,33.789,0.884,1
156,0.476,-0.151,0.22,-0.271,33.737,0.854,0
179,0.203,-0.195,0.063,-0.033,32.842,0.84,1
121,1.285,0.159,-0.292,-1.106,31.684,0.882,0
158,0.58,0.163,0.137,-0.1,32.263,0.978,1
159,0.659,0.14,-0.087,-0.166,31.632,0.943,0
152,0.999,-0.162,-0.315,-0.004,30.316,0.989,0
65,2.065,0.913,-0.349,0.042,34.316,1.12,0
181,0.239,-0.087,0.127,-0.066,39.737,1.101,1
182,0.125,0.022,-0.101,0.017,38.158,1.162,1
159,0.538,-0.102,-0.237,-0.131,38.947,1.006,0
184,0.516,-0.092,0.047,0.059,39.789,0.966,1
108,1.478,-2.591,0.387,0.401,42.947,0.933,0
156,0.99,-0.422,0.044,0.415,44.053,1.014,0
135,1.106,-0.53,-0.32,-0.316,39.842,0.915,0
148,0.719,-0.126,-0.674,0.19,35.947,0.911,1
134,1.008,-0.003,0.628,0.153,35.263,0.965,0
136,0.869,0.479,-0.348,0.488,34.895,1.022,0
168,0.853,-0.098,0.248,-0.217,34.0,0.932,1
166,0.614,-0.123,-0.149,-0.176,31.105,0.903,1
140,1.079,0.132,0.124,0.078,32.211,0.989,0
134,1.436,-0.915,0.369,-0.081,31.316,1.006,0
99,1.81,-0.29,1.947,0.122,30.105,0.906,0
179,0.215,0.044,-0.038,0.011,32.368,0.919,1
170,0.639,-0.75,-0.814,-0.117,32.789,0.952,1
129,1.598,0.523,-0.805,-0.271,34.579,1.154,0
130,1.785,-0.345,1.303,0.814,30.053,1.308,0
133,1.668,0.038,0.136,0.186,24.105,1.347,0
125,1.161,0.14,0.197,-0.09,24.474,1.357,0
84,2.033,1.678,1.235,-1.181,25.421,1.468,0
91,1.954,0.211,0.411,0.287,24.474,1.563,0
150,0.867,0.35,0.988,-0.034,23.579,1.485,1
123,1.342,0.886,0.204,-0.026,22.474,1.446,0
84,1.773,0.353,0.203,0.377,23.421,1.567,0
129,1.359,0.258,0.725,-0.215,25.105,1.621,0
139,1.851,-0.248,-0.388,-0.011,24.895,1.628,0
131,0.818,0.382,0.515,-0.212,25.211,1.531,0
99,2.313,-0.145,-0.234,0.049,25.211,1.598,0
101,1.904,1.329,0.303,0.367,25.211,1.727,0
179,0.35,-0.568,0.142,-0.069,27.947,1.642,1
145,0.877,0.121,0.849,0.346,29.421,1.477,1
151,0.857,-0.126,-0.433,0.558,27.895,1.304,1
176,0.398,0.146,0.547,0.013,25.0,1.212,1
82,1.404,-0.515,-0.031,-0.181,29.474,1.214,0
173,0.228,-0.283,0.062,-0.085,32.105,1.046,1
135,0.863,-0.16,-0.389,0.083,34.053,0.919,0
151,1.413,-0.153,-0.661,-0.082,34.737,0.955,0
157,0.541,-0.006,0.349,-0.065,34.632,0.89,1
127,0.759,-0.721,0.122,0.116,34.053,0.798,0
167,0.592,-0.171,0.052,0.286,35.789,0.732,1
98,1.55,-2.055,-0.826,-0.143,36.316,0.692,0
133,1.323,-0.178,-0.516,0.067,36.737,0.736,0
163,0.935,-0.973,0.397,0.065,36.263,0.655,0
163,0.827,-0.568,0.054,-0.008,33.895,0.56,0
132,2.103,-0.613,-2.473,0.462,35.0,0.644,0
167,0.785,0.867,-0.351,-0.222,36.421,0.661,1
151,0.978,-0.147,-1.068,-0.203,35.579,0.696,1
170,0.368,-0.218,0.327,-0.028,36.474,0.739,1
77,1.708,0.799,1.342,0.715,37.263,0.745,0
133,1.086,0.723,-0.771,-0.531,38.421,0.865,0
102,1.792,0.301,-0.871,0.228,39.737,0.974,0
135,1.157,-0.071,0.284,-0.381,40.158,0.93,0
86,1.722,1.652,0.58,-0.153,37.789,1.044,0
89,1.869,0.269,1.013,-0.863,33.158,1.18,0
117,0.942,0.081,0.979,0.63,32.632,1.262,0
158,0.946,-0.447,-0.352,-0.048,33.947,1.247,0
129,1.318,0.391,0.76,-0.722,35.158,1.206,0
110,1.524,-2.314,-0.262,0.503,34.579,1.367,0
175,0.61,-0.467,0.968,-0.275,35.895,1.464,0
92,2.331,-0.506,0.392,-0.465,36.632,1.304,0
183,0.288,-0.005,0.194,-0.004,39.579,1.278,1
148,0.531,-0.19,0.438,-0.341,39.842,1.237,0
185,0.939,-0.19,0.313,0.025,41.789,1.279,1
101,1.739,-0.141,1.047,1.217,44.579,1.255,0
179,0.248,-0.058,0.167,0.071,46.842,1.134,1
156,0.551,-0.207,0.285,0.157,47.211,0.997,0
141,1.455,0.625,0.368,-0.259,47.0,1.031,0
169,0.842,-0.387,0.107,-0.207,43.579,0.912,1
134,1.097,-0.095,-0.522,-0.101,42.474,0.817,0
178,0.311,-0.086,-0.041,0.136,43.158,0.769,1
160,0.378,-0.173,0.198,-0.072,42.368,0.764,0
182,0.231,-0.037,-0.277,0.044,40.947,0.705,1
170,0.085,0.061,-0.043,0.009,41.421,0.608,1
159,0.268,0.29,0.2,0.017,40.526,0.597,1
85,2.053,0.689,0.291,0.844,42.263,0.576,0
139,1.147,-0.018,-1.218,-0.239,43.579,0.637,0
156,0.575,0.005,-0.113,0.027,43.474,0.655,0
172,0.363,-0.059,-0.169,0.079,40.895,0.604,1
129,1.379,0.16,0.704,-0.057,38.789,0.584,0
134,1.895,1.783,-1.51,0.297,34.263,0.703,0
153,0.718,0.085,0.088,-0.061,33.421,0.766,0
158,0.61,-1.037,0.006,-0.264,31.737,0.702,1
132,1.148,-0.102,-0.312,0.5,28.684,0.76,0
175,0.298,-0.066,0.376,-0.024,26.842,0.746,1
162,0.389,0.191,0.298,0.095,26.316,0.783,0
120,1.793,-0.969,0.687,-0.177,27.737,0.914,0
142,0.777,0.055,-0.711,-0.264,27.421,1.032,0
87,1.502,-2.309,-0.172,1.087,28.474,1.282,0
97,1.961,-0.049,2.375,0.127,26.684,1.471,0
143,1.515,0.399,0.018,0.306,28.158,1.459,0
95,2.094,-0.933,-2.716,0.161,29.526,1.433,0
136,1.315,0.137,0.193,-0.088,31.053,1.49,0
152,1.181,-0.127,-0.527,-0.282,31.316,1.638,0
132,1.798,0.023,0.249,-0.68,28.474,1.73,0
83,1.902,-1.134,0.449,0.806,28.211,1.505,0
94,2.142,2.031,-1.305,-0.521,27.895,1.596,0
170,0.224,-0.246,0.044,0.042,31.053,1.677,1
81,2.427,-2.341,0.269,1.473,33.474,1.739,0
90,2.052,-0.761,2.694,-1.166,33.684,2.014,0
117,1.22,-0.314,0.431,-0.585,34.105,2.072,0
140,1.085,0.102,0.106,0.013,35.053,1.791,0
94,1.806,-0.695,0.529,0.977,36.105,1.795,0
88,2.218,1.564,0.309,-0.8,34.158,1.672,0
157,0.7,0.26,-0.087,0.132,37.105,1.426,0
77,2.065,-0.56,-0.582,0.165,39.105,1.508,0
134,1.154,-0.551,0.235,-0.262,40.947,1.369,0
168,0.185,0.147,0.158,-0.033,39.842,1.248,1
178,0.309,0.221,-0.11,0.038,39.842,1.146,1
116,0.937,0.411,0.008,-0.268,40.684,1.075,0
92,1.743,-1.611,2.074,0.287,39.421,1.067,0
181,0.52,-0.415,0.44,-0.063,41.947,0.913,1
117,1.296,-0.974,0.283,0.345,44.474,0.984,0
85,1.803,0.768,1.369,-0.2,45.105,0.896,0
185,0.143,0.058,0.102,-0.076,47.789,0.745,1
138,1.507,-2.313,-0.661,-0.463,49.684,0.731,0
143,0.955,0.382,0.265,-0.495,45.947,0.748,0
126,1.559,0.542,-0.431,-0.531,42.158,0.706,0
174,0.392,0.409,0.23,0.01,44.211,0.612,1
153,0.796,-0.272,0.311,-0.359,43.895,0.649,1
146,1.541,0.031,-0.884,-1.068,43.053,0.613,0
178,0.303,0.162,-0.058,0.163,42.316,0.601,1
184,0.342,-0.087,0.139,-0.055,42.316,0.638,1
141,1.432,0.669,0.393,0.719,40.947,0.717,0
163,0.243,0.066,-0.078,-0.052,37.895,0.714,1
104,1.345,-0.288,0.718,0.232,38.0,0.7,0
156,1.312,-0.187,0.212,0.096,38.947,0.803,0
151,1.156,-0.599,0.481,-0.136,38.684,0.752,0
154,0.854,0.621,0.134,-0.095,35.579,0.727,1
136,0.999,-0.661,0.749,-0.454,35.263,0.858,0
127,1.76,-0.566,-1.803,-0.59,31.053,0.858,0
102,1.962,-0.181,1.633,0.675,29.0,0.923,0
157,0.435,-0.077,-0.138,-0.066,30.211,0.87,1
167,0.253,-0.115,-0.035,-0.07,25.474,0.965,1
154,1.04,-0.934,-0.406,-0.026,23.684,0.975,0
117,1.585,-1.223,0.083,0.188,25.368,1.012,0
84,1.719,1.725,1.382,-0.67,26.211,1.175,0
98,2.157,1.312,-2.038,0.599,24.421,1.29,0
147,1.381,0.457,0.282,0.162,25.895,1.192,0
149,0.527,0.536,-0.484,0.081,25.632,1.268,0
133,1.449,-0.335,0.366,-0.376,24.789,1.311,0
158,0.674,0.334,0.678,-0.1,25.789,1.199,0
107,2.214,-1.717,0.916,-0.334,26.211,1.282,0
92,1.908,0.65,-0.8,-0.498,25.842,1.445,0
89,1.585,0.649,1.415,-0.276,22.895,1.401,0
179,0.291,0.079,-0.244,0.018,24.895,1.279,1
166,0.877,-0.097,-0.326,0.04,25.316,1.131,1
144,1.064,-0.882,0.194,0.23,26.316,1.259,0
177,0.55,-0.2,0.567,0.329,27.105,1.291,0
173,0.202,-0.215,-0.084,0.0,26.842,1.214,1
129,1.733,-1.307,0.846,-0.145,27.842,1.22,0
87,1.963,-1.223,0.16,0.097,27.158,1.13,0
157,0.578,0.035,-0.575,-0.372,30.316,0.931,0
141,1.445,0.474,0.476,-0.11,30.474,0.937,0
171,0.114,0.048,0.001,0.036,30.105,0.9,1
109,1.41,-0.265,0.78,0.204,31.632,0.893,0
175,0.409,-0.271,0.088,-0.121,34.368,0.91,1
164,0.617,-0.109,0.041,0.323,32.368,0.776,0
82,1.422,-0.185,-0.263,1.036,36.579,0.711,0
94,1.756,-0.625,-0.777,-0.368,36.368,0.699,0
184,0.459,-0.437,-0.518,0.258,39.789,0.761,1
163,0.7,-0.545,0.138,0.194,38.211,0.797,1
138,1.025,-0.206,-0.485,0.133,38.737,0.768,0
81,2.058,-0.29,0.047,-0.894,41.579,0.835,0
134,1.071,1.303,0.616,-0.352,39.632,0.922,0
98,1.884,1.988,0.421,0.22,40.842,0.922,0
165,0.231,-0.033,0.198,0.023,43.211,0.817,1
176,0.17,-0.006,0.126,-0.023,42.053,0.869,1
176,0.344,0.102,0.009,0.02,41.842,0.801,1
84,2.16,-0.638,-2.432,0.402,44.368,0.944,0
77,1.359,-0.152,-0.503,0.718,42.526,0.943,0
157,0.83,-0.567,0.134,0.377,43.053,0.984,1
94,2.237,0.945,1.059,0.056,45.526,1.201,0
104,2.122,1.943,-0.918,0.337,44.474,1.291,0
92,1.939,0.23,0.362,0.989,41.842,1.288,0
184,0.436,0.291,-0.024,-0.159,43.211,1.272,1
153,0.57,-0.259,-0.235,0.145,44.263,1.278,0
133,1.028,0.937,0.315,0.318,41.0,1.282,0
167,0.48,0.05,0.159,-0.169,42.158,1.061,0
81,1.496,0.629,-1.37,0.277,41.947,1.032,0
164,0.825,-0.47,0.71,-0.114,45.211,0.96,1
134,1.405,-1.319,0.08,-0.111,45.474,1.146,0
143,1.212,-0.341,0.469,-0.257,42.947,1.249,0
91,2.027,0.745,-1.237,-0.148,42.895,1.472,0
102,1.621,-1.762,0.623,-0.584,41.579,1.246,0
96,1.987,1.584,0.461,0.65,38.368,1.291,0
167,0.766,0.067,0.011,-0.081,41.526,1.253,1
172,0.429,-0.142,0.095,-0.27,41.789,1.036,1
101,1.965,0.816,1.883,-0.039,40.684,0.988,0
154,0.488,0.434,0.0,-0.187,43.105,0.9,1
168,0.968,0.235,-0.594,-0.35,39.632,0.93,0
162,1.097,-0.35,0.344,0.438,36.632,0.965,1
163,0.793,-0.466,1.456,-0.262,36.158,0.952,1
157,0.777,-0.095,-0.811,0.26,35.842,1.059,1
89,1.665,0.195,-0.757,-0.565,34.579,1.043,0
181,0.233,0.03,-0.125,0.07,37.789,1.074,1
179,0.332,-0.007,0.091,-0.051,36.842,0.94,1
176,0.284,0.053,-0.114,-0.015,35.211,0.837,1
88,1.335,-0.394,-0.228,-0.103,35.316,0.732,0
176,0.08,-0.022,-0.029,0.025,35.579,0.674,1
129,1.194,-0.552,-0.929,-0.163,36.474,0.614,0
91,1.686,0.336,0.891,-0.192,38.0,0.661,0
89,1.545,0.531,-1.656,-0.167,35.368,0.787,0
162,0.467,0.005,-0.027,-0.249,38.632,0.712,1
71,1.682,-1.197,-2.343,0.273,43.105,0.845,0
173,0.796,0.176,0.585,0.033,44.737,0.809,0
176,0.335,-0.01,-0.282,-0.005,44.632,0.742,1
155,1.173,0.729,-0.192,0.371,42.0,0.774,0
153,1.218,-0.178,-0.219,0.696,39.316,0.785,0
154,0.93,0.369,-1.17,0.241,38.632,0.737,0
